number;ProjectID;RequirementText;class;NFR;F;A;FT;L;LF;MN;O;PE;PO;SC;SE;US
1;nasa x38.doc_1;System Initialization performs those functions necessary to transform the hardware consisting of the FCP processors, network elements, and on-board I/O devices into a real time system executing tasks with fault tolerant message exchanges.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
2;nasa x38.doc_2;Whenever a power-on reset occurs, System Initialization shall [SRS194] perform the following functions.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
3;nasa x38.doc_3;As part of System Initialization , the Boot ROM shall [SRS234] be configured to, after completing IBIT, call the manufacturer-supplied VxWorks Board Support Package (BSP) initialization software followed by a call to the FTSS System Initialization software.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
4;nasa x38.doc_4;System Initialization shall [SRS014] initiate the watchdog timer.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
5;nasa x38.doc_5;System Initialization shall [SRS292] enable and reset the processor’s watchdog timer such that, in the absence of a fault, the watchdog timer does not expire and reset the processor..;F;0;1;0;0;0;0;0;0;0;0;0;0;0
6;nasa x38.doc_6;System Initialization shall [SRS008] synchronize the FCP virtual group in the presence of a power on skew of 2.5 seconds.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
7;nasa x38.doc_7;System Initialization shall [SRS010] configure the FCP virtual group to use all available synchronized processors, if at least 3 of the 5 FCRs are active.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
8;nasa x38.doc_8;If any of the FCP processors are not synchronized, System Initialization in the surviving triplex shall [SRS177] attempt to sync with the failed FCP.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
9;nasa x38.doc_9;If the failed FCP processor has not synced in 2.5 seconds after the surviving triplex has detected the loss of the FCP, then the surviving triplex shall [SRS178], within 1 second, send a single voted VMEbus reset through the NE to the failed FCP.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
10;nasa x38.doc_10;System Initialization shall [SRS011] align processor state and congruent aligned memory locations. Processor state includes all registers. It also includes those timers used by FTSS.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
11;nasa x38.doc_11;The FCP shall [SRS296] configure ICP simplex virtual groups for each channel in the FCP virtual group.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
12;nasa x38.doc_12;The FCP shall [SRS297] wait up to 15 seconds, after configuring the ICP virtual groups, for communication to start from the ICP. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
13;nasa x38.doc_13;The application can use this time on the ICP to initialize I/O boards.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
14;nasa x38.doc_14;System Initialization shall [SRS215] call an application initialization function to allow the application to (at least) create tasks, create communication sockets, initialize the vehicle mode, and initialize memory alignment allowance.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
