number,ProjectID,RequirementText,class,NFR,F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,label,pred_prob,pred_label
9,1,The system shall have a MDI form that allows for the viewing of the graph and the data table.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9934529,1
10,1,The system shall display Events in a vertical table by time.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9930454,1
11,1,The system shall display the Events in a graph by time.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9925932,1
12,1,The system shall display Events or Activities.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99238867,1
13,1, The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99368215,1
14,1,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9923592,1
15,1,The table side of the display shall be split into 2 regions: sequential and temporal.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.993075,1
16,1,The top 1/4 of the table will hold events that are to occur sequentially.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9904841,1
17,1,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99087733,1
18,1,The system shall color code events according to their variance from current time.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99316615,1
19,1,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99233186,1
20,1,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9932766,1
21,1,The system shall allow modification of the display.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99300015,1
22,1,The system shall offer a display of all the Events in the exercise.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9940392,1
23,1,The system shall filter data by: Venues and Key Events.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99236166,1
24,1,The system shall allow a user to define the time segments,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9934069,1
25,1,The system shall display the local and exercise time in separate clocks,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9924494,1
26,1,The system shall offer the ability to pause and resume the refresh of data.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99343264,1
27,1,The system shall provide charts for the Activity or Event actual versus assumed time.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9931415,1
28,1,The system shall provide a history report of changes made to the Activity or Event data,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9932461,1
58,2,The system shall allow a real estate agent to query MLS information,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9919891,1
59,2,The user shall be able to get driving directions to a selected property,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99321705,1
60,2,The user shall be able to download appointments and contact information for clients,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9927738,1
61,2,The system shall display clear property images in the search results,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.993986,1
62,2,The system shall update or create new property listings in the MLS,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99316,1
63,2,Realtor shall be able to generate a CMA report based on property criteria,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99259806,1
64,2,The system shall be able to call the seller or buyer to schedule an appointment,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99197924,1
65,2,The realtor shall be notified of new client appointments after automatic synchronization with office system,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9900872,1
66,2,The realtor shall be able to retrieve a map showing property locations for a specified area,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99245363,1
67,2,The system shall notify the realtor when a seller or buyer responds to an appointment request,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99264044,1
68,2,The product shall allow the user to save the property search results.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99284935,1
102,3,A cohort shall be associated to one Program of Study offered by the department.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99077964,1
103,3,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99265563,1
